                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.2967,                 1.0096,                0.97572,                0.55734,                0.41302,                0.43027,                0.24402,                 1.7135,                 1.7911,                 1.1305,             0.00011763,             0.00011763,             0.00011763
                     85,                 1.1692,                 1.0073,                0.97919,                0.55734,                0.41302,                0.43027,                0.24402,                 1.7135,                 1.7911,                 1.1305,             0.00011144,             0.00011144,             0.00011144
                     86,                 1.3227,                 1.1909,                 1.0336,                0.52636,                0.43819,                0.43294,                0.25992,                 1.7201,                 1.8178,                  1.138,             0.00010525,             0.00010525,             0.00010525
                     87,                 1.2508,                0.94866,                  1.001,                0.60054,                0.36804,                0.42606,                0.25469,                 1.7263,                 1.8236,                 1.1281,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     88,                 1.2097,                  1.003,                0.99193,                 0.6373,                0.35723,                 0.3528,                0.21361,                 1.7167,                  1.804,                 1.1269,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     89,                 1.2204,                0.96185,                0.96616,                 0.6373,                0.35723,                 0.3528,                0.21361,                 1.7167,                  1.804,                 1.1269,             8.6688e-05,             8.6688e-05,             8.6688e-05
                     90,                 1.2466,                 1.0057,                 1.0093,                0.63377,                0.35998,                0.32032,                0.19334,                 1.7064,                 1.7932,                 1.1258,               8.05e-05,               8.05e-05,               8.05e-05
                     91,                 1.2707,                 1.1357,                 1.0313,                0.54431,                0.37598,                0.32049,                0.19597,                 1.6911,                 1.8243,                 1.1169,             7.4312e-05,             7.4312e-05,             7.4312e-05
                     92,                 1.1891,                 1.0443,                0.99715,                0.69684,                0.31629,                0.30348,                0.18824,                  1.682,                 1.8386,                 1.1192,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     93,                  1.155,                 1.0531,                 0.9646,                0.69684,                0.31629,                0.30348,                0.18824,                  1.682,                 1.8386,                 1.1192,             6.1937e-05,             6.1937e-05,             6.1937e-05
                     94,                 1.2685,                 1.0294,                 1.0665,                0.70314,                0.32336,                0.29797,                0.18726,                 1.6746,                 1.8499,                 1.1196,              5.575e-05,              5.575e-05,              5.575e-05
                     95,                 1.2059,                 1.0018,                0.96682,                 0.6952,                0.31972,                0.28938,                0.17829,                 1.6733,                 1.8609,                 1.1243,             4.9562e-05,             4.9562e-05,             4.9562e-05
                     96,                 1.3225,                 1.1681,                 1.0695,                0.69303,                0.31601,                0.28904,                0.17328,                 1.6692,                 1.8504,                 1.1287,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     97,                 1.1883,                0.95818,                0.96734,                0.69303,                0.31601,                0.28904,                0.17328,                 1.6692,                 1.8504,                 1.1287,             3.7188e-05,             3.7188e-05,             3.7188e-05
                     98,                  1.255,                0.99903,                 1.0173,                 0.6929,                0.31499,                0.28572,                0.17721,                 1.6736,                 1.8492,                 1.1316,                3.1e-05,                3.1e-05,                3.1e-05
                     99,                 1.2317,                0.98196,                0.98403,                0.68519,                 0.3163,                0.28498,                0.17171,                 1.6756,                 1.8696,                 1.1318,             2.4813e-05,             2.4813e-05,             2.4813e-05
                    100,                 1.2679,                  0.992,                 1.0145,                0.68019,                0.31977,                0.28332,                0.17187,                 1.6739,                  1.896,                 1.1311,             1.8625e-05,             1.8625e-05,             1.8625e-05
